"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Bottle","21-Nov-2019 11:14 PM","21-Nov-2019 11:20 PM","150ml, breast milk"
"Feeding","Meal","21-Nov-2019 8:30 PM","21-Nov-2019 8:30 PM","1.0 oz sweet potatoes"
"Feeding","Bottle","21-Nov-2019 8:22 PM","21-Nov-2019 8:30 PM","200ml, breast milk"
"Feeding","Bottle","21-Nov-2019 5:18 PM","21-Nov-2019 5:25 PM","210ml, breast milk"
"Feeding","Meal","21-Nov-2019 2:16 PM","21-Nov-2019 2:16 PM","0.8 oz sweet potatoes"
"Feeding","Meal","21-Nov-2019 2:15 PM","21-Nov-2019 2:15 PM","1.0 oz peaches"
"Feeding","Bottle","21-Nov-2019 2:07 PM","21-Nov-2019 2:15 PM","180ml, breast milk"
"Feeding","Meal","21-Nov-2019 9:41 AM","21-Nov-2019 9:41 AM","1.0 oz peaches"
"Feeding","Bottle","21-Nov-2019 9:34 AM","21-Nov-2019 9:41 AM","210ml, breast milk"
"Feeding","Bottle","20-Nov-2019 11:20 PM","20-Nov-2019 11:29 PM","150ml, breast milk"
"Feeding","Bottle","20-Nov-2019 9:06 PM","20-Nov-2019 9:14 PM","180ml, breast milk"
"Feeding","Meal","20-Nov-2019 6:23 PM","20-Nov-2019 6:23 PM","1.0 oz lentils"
"Feeding","Bottle","20-Nov-2019 6:14 PM","20-Nov-2019 6:23 PM","210ml, breast milk"
"Feeding","Meal","20-Nov-2019 2:43 PM","20-Nov-2019 2:43 PM","1.0 oz lentils"
"Feeding","Bottle","20-Nov-2019 2:35 PM","20-Nov-2019 2:42 PM","210ml, breast milk"
"Feeding","Meal","20-Nov-2019 10:01 AM","20-Nov-2019 10:01 AM","1.0 oz peaches"
"Feeding","Bottle","20-Nov-2019 9:55 AM","20-Nov-2019 10:01 AM","190ml, breast milk"
"Feeding","Bottle","19-Nov-2019 11:01 PM","19-Nov-2019 11:07 PM","120ml, breast milk"
"Feeding","Meal","19-Nov-2019 8:44 PM","19-Nov-2019 8:44 PM","1.0 oz lentils"
"Feeding","Bottle","19-Nov-2019 8:25 PM","19-Nov-2019 8:33 PM","150ml, breast milk"
